"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"ABY51149","565","Human","HA","H1N1","USA","N","2007/02/19","Influenza A virus (A/North Carolina/UR06-0365/2007(H1N1))","","7 Y","M","","","c"
"ABY51182","565","Human","HA","H1N1","USA","N","2007/02/19","Influenza A virus (A/Virginia/UR06-0346/2007(H1N1))","","6 Y","M","","","c"
"AEI85858","300","Swine","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/swine/Kansas/01463/2007(H1N1))","","","","","","p"
"ABV30184","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Texas/UR06-0359/2007(H1N1))","","3 Y","F","","","c"
"ABW36256","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Mississippi/UR06-0378/2007(H1N1))","","28 Y","M","","","c"
"ABW86354","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Texas/UR06-0357/2007(H1N1))","","14 Y","M","","","c"
"ACN42981","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Tennessee/UR06-0379/2007(H1N1))","","10 Y","","","","c"
"ABV29733","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Kentucky/UR06-0363/2007(H1N1))","","2 Y","M","","","c"
"ABW36179","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/California/UR06-0374/2007(H1N1))","","46 Y","M","","","c"
"ABW36190","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Florida/UR06-0354/2007(H1N1))","","6 Y","F","","","c"
"ABW40037","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/California/UR06-0375/2007(H1N1))","","6 Y","M","","","c"
"ABV29975","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Florida/UR06-0355/2007(H1N1))","","5 Y","M","","","c"
"ABX58624","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Virginia/UR06-0351/2007(H1N1))","","7 Y","M","","","c"
"ABY81415","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Virginia/UR06-0361/2007(H1N1))","","13 Y","M","","","c"
"ABW91636","565","Human","HA","H1N1","USA","N","2007/02/20","Influenza A virus (A/Virginia/UR06-0360/2007(H1N1))","","7Y","M","","","c"
"AJK01471","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Illinois/UR06-0376/2007(H1N1))","","","","","","nc"
"ABV29645","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Texas/UR06-0380/2007(H1N1))","","7 Y","F","","","c"
"ABW39949","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Illinois/UR06-0376/2007(H1N1))","","41 Y","M","","","c"
"ABV29689","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Illinois/UR06-0377/2007(H1N1))","","37 Y","F","","","c"
"ABW39850","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/California/UR06-0393/2007(H1N1))","","5 Y","M","","","c"
"ABV30305","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Florida/UR06-0383/2007(H1N1))","","14 Y","M","","","c"
"ABW71470","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Kentucky/UR06-0371/2007(H1N1))","","8 Y","M","","","c"
"ACN33101","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Kentucky/UR06-0369/2007(H1N1))","","10 Y","","","","c"
"ABW40367","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Virginia/UR06-0384/2007(H1N1))","","4 Y","M","","","c"
"ABY81382","565","Human","HA","H1N1","USA","N","2007/02/21","Influenza A virus (A/Kentucky/UR06-0372/2007(H1N1))","","5 Y","F","","","c"
"AEI85862","299","Swine","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/swine/Missouri/01473/2007(H1N1))","","","","","","p"
"ABW91328","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/Tennessee/UR06-0388/2007(H1N1))","","5 Y","M","","","c"
"ABV29777","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/Texas/UR06-0398/2007(H1N1))","","1 Y","M","","","c"
"ABV29634","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/New York/UR06-0386/2007(H1N1))","","46 Y","F","","","c"
"ABX58525","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/Kentucky/UR06-0391/2007(H1N1))","","6 Y","M","","","c"
"ABX58547","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/Virginia/UR06-0387/2007(H1N1))","","37 Y","F","","","c"
"AHL89750","565","Human","HA","H1N1","USA","N","2007/02/22","Influenza A virus (A/New York/1068/2007(H1N1))","","","","","","c"
"ABW39883","565","Human","HA","H1N1","USA","N","2007/02/23","Influenza A virus (A/Texas/UR06-0397/2007(H1N1))","","9 Y","M","","","c"
"ABX58470","565","Human","HA","H1N1","USA","N","2007/02/23","Influenza A virus (A/Kentucky/UR06-0401/2007(H1N1))","","1 Y","M","","","c"
"ABW86519","565","Human","HA","H1N1","USA","N","2007/02/23","Influenza A virus (A/Ohio/UR06-0394/2007(H1N1))","","13 Y","M","","","c"
"ABY51171","565","Human","HA","H1N1","USA","N","2007/02/23","Influenza A virus (A/Ohio/UR06-0429/2007(H1N1))","","11 Y","M","","","c"
"ABV29755","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/California/UR06-0435/2007(H1N1))","","6 Y","F","","","c"
"ABW40103","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Florida/UR06-0412/2007(H1N1))","","3 Y","M","","","c"
"ABX58393","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Ohio/UR06-0411/2007(H1N1))","","9 Y","F","","","c"
"ABW40576","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Ohio/UR06-0443/2007(H1N1))","","7 Y","F","","","c"
"ACR61666","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/California/UR06-0439/2007(H1N1))","","3 Y","","","","c"
"ABV30052","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Illinois/UR06-0415/2007(H1N1))","","30 Y","M","","","c"
"ACN32793","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Texas/UR06-0422/2007(H1N1))","","6 Y","","","","c"
"ABX58481","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Kentucky/UR06-0425/2007(H1N1))","","8 Y","M","","","c"
"ABW86497","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Tennessee/UR06-0414/2007(H1N1))","","3.5 Y","F","","","c"
"ABX58712","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Texas/UR06-0420/2007(H1N1))","","8Y","M","","","c"
"ABW86606","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/Kentucky/UR06-0424/2007(H1N1))","","1 Y","M","","","c"
"ABY51248","565","Human","HA","H1N1","USA","N","2007/02/26","Influenza A virus (A/California/UR06-0442/2007(H1N1))","","3Y","F","","","c"
"AEI85861","302","Swine","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/swine/North Carolina/01471/2007(H1N1))","","","","","","p"
"ABX58261","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/California/UR06-0440/2007(H1N1))","","7 Y","F","","","c"
"ABW91273","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Texas/UR06-0445/2007(H1N1))","","1 Y","F","","","c"
"ABW91295","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Florida/UR06-0447/2007(H1N1))","","12 Y","M","","","c"
"ABW91383","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Kentucky/UR06-0449/2007(H1N1))","","7 Y","F","","","c"
"ABV30008","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Texas/UR06-0461/2007(H1N1))","","9 Y","F","","","c"
"ABW36278","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Texas/UR06-0444/2007(H1N1))","","3 Y","M","","","c"
"ABW91482","565","Human","HA","H1N1","USA","N","2007/02/27","Influenza A virus (A/Tennessee/UR06-0459/2007(H1N1))","","3 Y","F","","","c"
"AJK01540","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/Ohio/UR06-0465/2007(H1N1))","","","","","","nc"
"ABV29766","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/Alabama/UR06-0455/2007(H1N1))","","28 Y","M","","","c"
"ABV29953","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/Illinois/UR06-0456/2007(H1N1))","","44 Y","F","","","c"
"ABY81360","564","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/California/UR06-0462/2007(H1N1))","","5 Y","M","","","nc"
"ABW40488","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/Ohio/UR06-0465/2007(H1N1))","","7 Y","M","","","c"
"AHL89762","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/New York/1069/2007(H1N1))","","","","","","c"
"AHL89774","565","Human","HA","H1N1","USA","N","2007/02/28","Influenza A virus (A/New York/1070/2007(H1N1))","","","","","","c"
"ABY51039","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/California/UR06-0479/2007(H1N1))","","13 Y","M","","","c"
"ABV29854","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Texas/UR06-0467/2007(H1N1))","","5 Y","M","","","c"
"ABW39916","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Kentucky/UR06-0476/2007(H1N1))","","7 Y","M","","","c"
"ABX58272","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Colorado/UR06-0496/2007(H1N1))","","2.5 Y","F","","","c"
"ABW40202","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Illinois/UR06-0491/2007(H1N1))","","33 Y","M","","","c"
"ABW71338","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Vermont/UR06-0472/2007(H1N1))","","2 Y","F","","","c"
"ABW39777","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Texas/UR06-0468/2007(H1N1))","","6 Y","M","","","c"
"ABX58283","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Illinois/UR06-0475/2007(H1N1))","","13 Y","M","","","c"
"ABW86552","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Tennessee/UR06-0473/2007(H1N1))","","8 Y","M","","","c"
"AEM60058","565","Human","HA","H1N1","USA","N","2007/03/01","Influenza A virus (A/Colorado/UR06-0495/2007(H1N1))","","","","","","c"
"ACN32826","565","Human","HA","H1N1","USA","N","2007/03/02","Influenza A virus (A/Vermont/UR06-0513/2007(H1N1))","","7 Y","","","","c"
"ACN33090","565","Human","HA","H1N1","USA","N","2007/03/02","Influenza A virus (A/Ohio/UR06-0493/2007(H1N1))","","1 Y","","","","c"
"ABV30283","565","Human","HA","H1N1","USA","N","2007/03/02","Influenza A virus (A/Vermont/UR06-0485/2007(H1N1))","","1 Y","M","","","c"
"AJK01406","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Ohio/UR06-0518/2007(H1N1))","","","","","","nc"
"AJK01997","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Colorado/UR06-0498/2007(H1N1))","","","","","","nc"
"ABV29612","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Texas/UR06-0502/2007(H1N1))","","6 Y","F","","","c"
"ABV45959","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Colorado/UR06-0498/2007(H1N1))","","3 Y","M","","","c"
"ABW39960","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Vermont/UR06-0511/2007(H1N1))","","9 Y","M","","","c"
"ABX58250","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Texas/UR06-0503/2007(H1N1))","","5 Y","M","","","c"
"ABW71393","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Colorado/UR06-0499/2007(H1N1))","","5 Y","M","","","c"
"ABW40015","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Florida/UR06-0501/2007(H1N1))","","13 Y","M","","","c"
"ABW71437","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Ohio/UR06-0521/2007(H1N1))","","1 Y","M","","","c"
"ABW91460","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Tennessee/UR06-0508/2007(H1N1))","","4 Y","M","","","c"
"ABX58569","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Tennessee/UR06-0509/2007(H1N1))","","12 Y","F","","","c"
"ABW40411","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Ohio/UR06-0518/2007(H1N1))","","10 Y","F","","","c"
"ABX58591","565","Human","HA","H1N1","USA","N","2007/03/05","Influenza A virus (A/Oklahoma/UR06-0519/2007(H1N1))","","41 Y","F","","","c"
"ACA33748","548","Human","HA","H1N1","USA","N","2007/03/06","Influenza A virus (A/Massachusetts/05/2007(H1N1))","","","","","","p"
"ABW36201","565","Human","HA","H1N1","USA","N","2007/03/06","Influenza A virus (A/Texas/UR06-0540/2007(H1N1))","","5 Y","F","","","c"
"ABV30041","565","Human","HA","H1N1","USA","N","2007/03/06","Influenza A virus (A/Texas/UR06-0526/2007(H1N1))","","7 Y","F","","","c"
"ABX58448","565","Human","HA","H1N1","USA","N","2007/03/06","Influenza A virus (A/Ohio/UR06-0522/2007(H1N1))","","4 Y","M","","","c"
"ABW86442","565","Human","HA","H1N1","USA","N","2007/03/06","Influenza A virus (A/Alabama/UR06-0536/2007(H1N1))","","64 Y","F","","","c"
"ABW86376","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/California/UR06-0564/2007(H1N1))","","30 Y","M","","","c"
"ABV30525","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Kentucky/UR06-0539/2007(H1N1))","","10 Y","M","","","c"
"ABW91427","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Virginia/UR06-0549/2007(H1N1))","","28 Y","M","","","c"
"ABW36212","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Texas/UR06-0542/2007(H1N1))","","6 Y","M","","","c"
"ABV29986","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Texas/UR06-0563/2007(H1N1))","","3 Y","F","","","c"
"ABV45948","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Kentucky/UR06-0538/2007(H1N1))","","7 Y","M","","","c"
"ABV30459","565","Human","HA","H1N1","USA","N","2007/03/07","Influenza A virus (A/Mississippi/UR06-0537/2007(H1N1))","","8 Y","F","","","c"
"AEI85864","293","Swine","HA","H1N1","USA","N","2007/03/08","Influenza A virus (A/swine/North Carolina/01493/2007(H1N1))","","","","","","p"
"ABV30151","565","Human","HA","H1N1","USA","N","2007/03/08","Influenza A virus (A/Kentucky/UR06-0553/2007(H1N1))","","15 Y","M","","","c"
"ABW40147","565","Human","HA","H1N1","USA","N","2007/03/08","Influenza A virus (A/Vermont/UR06-0556/2007(H1N1))","","3 Y","F","","","c"
"ABW91350","565","Human","HA","H1N1","USA","N","2007/03/08","Influenza A virus (A/Virginia/UR06-0562/2007(H1N1))","","4 Y","M","","","c"
"ABY51259","565","Human","HA","H1N1","USA","N","2007/03/08","Influenza A virus (A/California/UR06-0552/2007(H1N1))","","6Y","F","","","c"
"ABW23277","548","Human","HA","H1N1","USA","N","2007/03/09","Influenza A virus (A/Pennsylvania/01/2007(H1N1))","","","","","","p"
"AEI85876","300","Swine","HA","H1N1","USA","N","2007/03/09","Influenza A virus (A/swine/Minnesota/01529/2007(H1N1))","","","","","","p"
"ABW71371","565","Human","HA","H1N1","USA","N","2007/03/09","Influenza A virus (A/California/UR06-0585/2007(H1N1))","","11 Y","M","","","c"
"ABV30360","565","Human","HA","H1N1","USA","N","2007/03/11","Influenza A virus (A/Vermont/UR06-0574/2007(H1N1))","","4 Y","M","","","c"
"ABV45871","565","Human","HA","H1N1","USA","N","2007/03/12","Influenza A virus (A/Vermont/UR06-0575/2007(H1N1))","","3 Y","F","","","c"
"ABV29887","565","Human","HA","H1N1","USA","N","2007/03/12","Influenza A virus (A/Vermont/UR06-0576/2007(H1N1))","","3 Y","M","","","c"
"ABW40092","565","Human","HA","H1N1","USA","N","2007/03/12","Influenza A virus (A/Texas/UR06-0582/2007(H1N1))","","6 Y","M","","","c"
"ABW39894","565","Human","HA","H1N1","USA","N","2007/03/12","Influenza A virus (A/Vermont/UR06-0573/2007(H1N1))","","3 Y","M","","","c"
"ACD56280","565","Human","HA","H1N1","USA","N","2007/03/12","Influenza A virus (A/Ohio/UR06-0591/2007(H1N1))","","7Y","M","","","c"
"AEI85874","297","Swine","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/swine/North Carolina/01523/2007(H1N1))","","","","","","p"
"AEI85872","296","Swine","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/swine/Illinois/01521/2007(H1N1))","","","","","","p"
"ABW39861","565","Human","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/Florida/UR06-0577/2007(H1N1))","","5 Y","M","","","c"
"ABW36289","565","Human","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/Mississippi/UR06-0595/2007(H1N1))","","3 Y","M","","","c"
"ABW91317","565","Human","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/Florida/UR06-0578/2007(H1N1))","","10 Y","F","","","c"
"ABX58338","565","Human","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/Virginia/UR06-0594/2007(H1N1))","","9 Y","F","","","c"
"AEI85873","295","Swine","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/swine/Texas/01522/2007(H1N1))","","","","","","p"
"AHB21171","566","Swine","HA","H1N1","USA","N","2007/03/13","Influenza A virus (A/swine/Texas/01522/2007(H1N1))","","","","","","c"
"AEI85875","294","Swine","HA","H1N1","USA","N","2007/03/15","Influenza A virus (A/swine/Illinois/01524/2007(H1N1))","","","","","","p"
"ACF41680","565","Human","HA","H1N1","USA","N","2007/03/15","Influenza A virus (A/Oregon/UR06-0609/2007(H1N1))","","8Y","F","","","c"
"AHB21243","566","Swine","HA","H1N1","USA","N","2007/03/16","Influenza A virus (A/swine/Kentucky/SG1277/2007(H1N1))","","","","","","c"
"AHL89786","565","Human","HA","H1N1","USA","N","2007/03/19","Influenza A virus (A/New York/1071/2007(H1N1))","","","","","","c"
"AEI85877","298","Swine","HA","H1N1","USA","N","2007/03/23","Influenza A virus (A/swine/Missouri/01531/2007(H1N1))","","","","","","p"
"ACA33675","565","Human","HA","H1N1","USA","N","2007/03/28","Influenza A virus (A/Texas/31/2007(H1N1))","","","","","","c"
"ABW23342","565","Human","HA","H1N1","USA","N","2007/04/02","Influenza A virus (A/New York/08/2007(H1N1))","","","","","","c"
"AEI85881","299","Swine","HA","H1N1","USA","N","2007/04/03","Influenza A virus (A/swine/Minnesota/01547/2007(H1N1))","","","","","","p"
"AEI85878","302","Swine","HA","H1N1","USA","N","2007/04/04","Influenza A virus (A/swine/Minnesota/01537/2007(H1N1))","","","","","","p"
"AHB23035","565","Swine","HA","H1N1","USA","N","2007/04/04","Influenza A virus (A/swine/North Carolina/01550/2007(H1N1))","","","","","","c"
"AEI85882","299","Swine","HA","H1N1","USA","N","2007/04/05","Influenza A virus (A/swine/Minnesota/01548/2007(H1N1))","","","","","","p"
"AEI86083","300","Swine","HA","H1N1","USA","N","2007/04/05","Influenza A virus (A/swine/North Carolina/01926/2007(H1N1))","","","","","","p"
"AEI85901","289","Swine","HA","H1N1","USA","N","2007/04/06","Influenza A virus (A/swine/Minnesota/01600/2007(H1N1))","","","","","","p"
"ARD27257","565","Swine","HA","H1N1","USA","N","2007/04/09","Influenza A virus (A/swine/Iowa/07-9871/2007(H1N1))","","","","","","c"
"AEI85889","299","Swine","HA","H1N1","USA","N","2007/04/10","Influenza A virus (A/swine/Illinois/01568/2007(H1N1))","","","","","","p"
"AEI85890","283","Swine","HA","H1N1","USA","N","2007/04/10","Influenza A virus (A/swine/Kentucky/01569/2007(H1N1))","","","","","","p"
"AHB21293","566","Swine","HA","H1N1","USA","N","2007/04/10","Influenza A virus (A/swine/Kentucky/01569/2007(H1N1))","","","","","","c"
"AHL89798","565","Human","HA","H1N1","USA","N","2007/04/10","Influenza A virus (A/New York/1072/2007(H1N1))","","","","","","c"
"AEI85883","299","Swine","HA","H1N1","USA","N","2007/04/11","Influenza A virus (A/swine/Minnesota/01552/2007(H1N1))","","","","","","p"
"AEI85884","300","Swine","HA","H1N1","USA","N","2007/04/12","Influenza A virus (A/swine/Missouri/01553/2007(H1N1))","","","","","","p"
"AKC45138","566","Swine","HA","H1N1","USA","N","2007/04/12","Influenza A virus (A/swine/Missouri/01553/2007(H1N1))","","","","","","c"
"AEI85886","299","Swine","HA","H1N1","USA","N","2007/04/17","Influenza A virus (A/swine/North Carolina/01562/2007(H1N1))","","","","","","p"
"AEI85891","299","Swine","HA","H1N1","USA","N","2007/04/17","Influenza A virus (A/swine/Minnesota/01570/2007(H1N1))","","","","","","p"
"AEI85897","286","Swine","HA","H1N1","USA","N","2007/04/24","Influenza A virus (A/swine/North Carolina/01591/2007(H1N1))","","","","","","p"
"AHB22987","566","Swine","HA","H1N1","USA","N","2007/04/24","Influenza A virus (A/swine/North Carolina/01591/2007(H1N1))","","","","","","c"
"AEI85892","301","Swine","HA","H1N1","USA","N","2007/04/25","Influenza A virus (A/swine/Minnesota/01574/2007(H1N1))","","","","","","p"
"AEI85887","299","Swine","HA","H1N1","USA","N","2007/04/25","Influenza A virus (A/swine/Iowa/01564/2007(H1N1))","","","","","","p"
"AEI85894","299","Swine","HA","H1N1","USA","N","2007/04/26","Influenza A virus (A/swine/North Carolina/01580/2007(H1N1))","","","","","","p"
"AEI85895","299","Swine","HA","H1N1","USA","N","2007/04/26","Influenza A virus (A/swine/Minnesota/01581/2007(H1N1))","","","","","","p"
"AEO91877","566","Swine","HA","H1N1","USA","N","2007/04/26","Influenza A virus (A/swine/Minnesota/001581/2007(H1N1))","","","","","","c"
"AEI85896","299","Swine","HA","H1N1","USA","N","2007/04/27","Influenza A virus (A/swine/Minnesota/01584/2007(H1N1))","","","","","","p"
"AEI85898","282","Swine","HA","H1N1","USA","N","2007/05/01","Influenza A virus (A/swine/Illinois/01595/2007(H1N1))","","","","","","p"
"AEI85900","200","Swine","HA","H1N1","USA","N","2007/05/02","Influenza A virus (A/swine/Minnesota/01599/2007(H1N1))","","","","","","p"
"AEI85902","295","Swine","HA","H1N1","USA","N","2007/05/04","Influenza A virus (A/swine/Minnesota/01611/2007(H1N1))","","","","","","p"
"AEI85903","299","Swine","HA","H1N1","USA","N","2007/05/07","Influenza A virus (A/swine/Minnesota/01612/2007(H1N1))","","","","","","p"
"AEI85926","301","Swine","HA","H1N1","USA","N","2007/05/08","Influenza A virus (A/swine/Minnesota/01613/2007(H1N1))","","","","","","p"
"AEI85927","300","Swine","HA","H1N1","USA","N","2007/05/08","Influenza A virus (A/swine/Minnesota/01614/2007(H1N1))","","","","","","p"
"AEI85899","300","Swine","HA","H1N1","USA","N","2007/05/09","Influenza A virus (A/swine/Minnesota/01597/2007(H1N1))","","","","","","p"
"AEI85933","302","Swine","HA","H1N1","USA","N","2007/05/10","Influenza A virus (A/swine/Illinois/01626/2007(H1N1))","","","","","","p"
"AEI85930","296","Swine","HA","H1N1","USA","N","2007/05/14","Influenza A virus (A/swine/Minnesota/01620/2007(H1N1))","","","","","",""
"AEI85931","299","Swine","HA","H1N1","USA","N","2007/05/15","Influenza A virus (A/swine/Illinois/01621/2007(H1N1))","","","","","","p"
"AEI85929","299","Swine","HA","H1N1","USA","N","2007/05/18","Influenza A virus (A/swine/Kansas/01618/2007(H1N1))","","","","","","p"
"AEI85934","299","Swine","HA","H1N1","USA","N","2007/05/25","Influenza A virus (A/swine/Minnesota/01632/2007(H1N1))","","","","","","p"
"AEI85937","292","Swine","HA","H1N1","USA","N","2007/05/31","Influenza A virus (A/swine/Kansas/01640/2007(H1N1))","","","","","","p"
"AEI85935","300","Swine","HA","H1N1","USA","N","2007/06/05","Influenza A virus (A/swine/North Carolina/01636/2007(H1N1))","","","","","","p"
"AEI85936","300","Swine","HA","H1N1","USA","N","2007/06/06","Influenza A virus (A/swine/Minnesota/01637/2007(H1N1))","","","","","","p"
"AEI85941","299","Swine","HA","H1N1","USA","N","2007/06/18","Influenza A virus (A/swine/Nebraska/01655/2007(H1N1))","","","","","","p"
"AEI85942","281","Swine","HA","H1N1","USA","N","2007/06/20","Influenza A virus (A/swine/Missouri/01656/2007(H1N1))","","","","","","p"
"AEI85944","289","Swine","HA","H1N1","USA","N","2007/06/21","Influenza A virus (A/swine/Texas/01658/2007(H1N1))","","","","","","p"
"AEI85947","301","Swine","HA","H1N1","USA","N","2007/06/21","Influenza A virus (A/swine/Minnesota/01666/2007(H1N1))","","","","","","p"
"AEI85943","296","Swine","HA","H1N1","USA","N","2007/06/21","Influenza A virus (A/swine/Texas/01657/2007(H1N1))","","","","","","p"
"AHB21207","566","Swine","HA","H1N1","USA","N","2007/06/21","Influenza A virus (A/swine/Texas/01657/2007(H1N1))","","","","","","c"
"AEI85948","301","Swine","HA","H1N1","USA","N","2007/06/27","Influenza A virus (A/swine/Illinois/01670/2007(H1N1))","","","","","","p"
"AEI85945","301","Swine","HA","H1N1","USA","N","2007/06/27","Influenza A virus (A/swine/Minnesota/01659/2007(H1N1))","","","","","","p"
"AEI85946","299","Swine","HA","H1N1","USA","N","2007/06/28","Influenza A virus (A/swine/Missouri/01660/2007(H1N1))","","","","","","p"
"ADJ37244","524","Human","HA","H1N1","Canada","N","2007/07","Influenza A virus (A/Canada/EFA0001/2007(H1N1))","","","","","","p"
"ACD45749","348","Human","HA","H1N1","Honduras","T","2007/07/01","Influenza A virus (A/Honduras/AF1268/2007(H1N1))","","22","F","","","p"
"AEI85954","301","Swine","HA","H1N1","USA","N","2007/07/03","Influenza A virus (A/swine/Minnesota/01681/2007(H1N1))","","","","","","p"
"AEI85953","200","Swine","HA","H1N1","Canada","N","2007/07/05","Influenza A virus (A/swine/Manitoba/01680/2007(H1N1))","","","","","","p"
"ACD45731","348","Human","HA","H1N1","USA","N","2007/07/10","Influenza A virus (A/Hawaii/AF1250/2007(H1N1))","","23","F","","","p"
"AEI85955","300","Swine","HA","H1N1","USA","N","2007/07/12","Influenza A virus (A/swine/Illinois/01682/2007(H1N1))","","","","","","p"
"AEI85960","300","Swine","HA","H1N1","USA","N","2007/07/12","Influenza A virus (A/swine/Minnesota/01689/2007(H1N1))","","","","","","p"
"AEI85972","302","Swine","HA","H1N1","USA","N","2007/07/12","Influenza A virus (A/swine/Minnesota/01726/2007(H1N1))","","","","","","p"
"AEI86098","300","Swine","HA","H1N1","USA","N","2007/07/17","Influenza A virus (A/swine/North Carolina/01949/2007(H1N1))","","","","","","p"
"ACD45756","348","Human","HA","H1N1","USA","N","2007/07/17","Influenza A virus (A/South Dakota/AF1302/2007(H1N1))","","7","M","","","p"
"ACD45757","348","Human","HA","H1N1","USA","N","2007/07/17","Influenza A virus (A/South Dakota/AF1303/2007(H1N1))","","8","M","","","p"
